Flag,Stock_Symbol,Col_1,Col_2,,
Y/N - Y indicates to analze the stock. N indicates to ignore.,The Stock Symbol.,Date 1,Date 2,,
,,,,,
,,,,,
Important Points:,,,,,
1. Flag and Stock Symbol Fields are mandatory.,,,,,
,,,,,
Example : ,,,,,
,,,,,
Flag,Stock_Symbol,Q1_2012,Q2_2012,Q3_2012,Q4_2012
Y,ABIRLANUV.NS,13-02-2012,18-05-2012,06-08-2012,08-11-2012
Y,ACC.NS,10-02-2012,10-05-2012,26-07-2012,18-10-2012
Y,ADANIENT.NS,09-02-2012,25-05-2012,10-08-2012,25-10-2012
Y,ADANIPORT.NS,06-02-2012,16-05-2012,10-08-2012,22-10-2012
Y,AMBUJACEM.NS,10-02-2012,14-05-2012,26-07-2012,18-10-2012
Y,APOLLOHOS.NS,10-02-2012,02-07-2012,14-08-2012,09-11-2012
Y,ASHOKLEY.NS,02-02-2012,15-05-2012,24-07-2012,08-11-2012
